id,title,description,due_date,estimated_hours,actual_hours,status,status_id,priority,project_id,firm_id,assignee_id,template_task_origin_id,completed_at,created_at,updated_at,dependencies,recurring_task_origin_id,parent_task_id,subtask_order,is_recurring,recurrence_rule,recurrence_interval,next_due_date,last_completed,master_task_id,hourly_rate,is_billable,timer_start,timer_running
7,"Download bank statements","Task from Monthly Bookkeeping Package template",2025-01-01,0.25,0.0,Completed,7,Medium,2,1,3,7,"2025-06-16 10:41:04.589601","2025-06-06 08:41:25.764569","2025-06-16 10:41:04.590122",,,,0,0,,1,,,,,1,,0
8,"Categorize transactions","Task from Monthly Bookkeeping Package template",2025-01-02,3.0,0.0,Completed,7,Medium,2,1,2,8,"2025-06-16 10:41:06.751653","2025-06-06 08:41:25.765358","2025-06-20 16:46:35.129314",,,,0,0,,1,,,,,1,,0
9,"Reconcile bank accounts","Task from Monthly Bookkeeping Package template",2025-01-03,2.0,0.0,Completed,7,Medium,2,1,4,9,"2025-06-20 16:46:28.266287","2025-06-06 08:41:25.766126","2025-06-28 06:33:46.043935",,,,0,0,,1,,,,,1,,0
10,"Generate financial statements","Task from Monthly Bookkeeping Package template",2025-01-04,1.0,0.0,Completed,7,Medium,2,1,3,10,,"2025-06-06 08:41:25.766919","2025-06-28 06:33:46.635385",,,,0,0,,1,,,,,1,,0
11,"Review and finalize","Task from Monthly Bookkeeping Package template",2025-01-05,0.5,0.0,"In Progress",7,Medium,2,1,4,11,,"2025-06-06 08:41:25.767720","2025-06-28 06:33:46.635388",,,,0,0,,1,,,,,1,,0
12,"Collect timesheets","Task from Bi-Weekly Payroll template",2024-12-15,0.5,0.0,Completed,12,High,3,1,3,12,"2025-06-11 12:30:09.128815","2025-06-06 08:41:25.769991","2025-06-11 12:30:09.131120",,,,0,0,,1,,,,,1,,0
13,"Calculate payroll","Task from Bi-Weekly Payroll template",2024-12-16,1.5,0.0,Completed,12,High,3,1,3,13,"2025-06-25 18:37:59.982291","2025-06-06 08:41:25.770790","2025-06-28 07:35:18.255677",,,,0,0,,1,,,,,1,,0
14,"Review calculations","Task from Bi-Weekly Payroll template",2024-12-16,0.5,0.0,"In Progress",12,High,3,1,2,14,,"2025-06-06 08:41:25.771570","2025-06-28 07:35:18.255684",,,,0,0,,1,,,,,1,,0
15,"Process payroll","Task from Bi-Weekly Payroll template",2024-12-17,0.75,0.0,"Not Started",12,High,3,1,3,15,,"2025-06-06 08:41:25.772313","2025-06-16 10:41:17.391754",,,,0,0,,1,,,,,1,,0
16,"File payroll taxes","Task from Bi-Weekly Payroll template",2024-12-18,0.5,0.0,"Not Started",12,High,3,1,3,16,,"2025-06-06 08:41:25.773071","2025-06-26 10:31:19.173220",,,,0,0,,1,,,,,1,,0
17,"Initial client meeting","Task from Business Advisory Consultation template",2025-01-01,2.0,0.0,Completed,17,Medium,4,1,2,17,"2025-06-26 10:31:03.310859","2025-06-06 08:41:25.775246","2025-06-26 10:31:03.314954",,,,0,0,,1,,,,,1,,0
18,"Research industry trends","Task from Business Advisory Consultation template",2025-01-03,4.0,0.0,Completed,17,Medium,4,1,3,18,"2025-06-26 10:31:03.310899","2025-06-06 08:41:25.776111","2025-06-27 22:43:19.780347",,,,0,0,,1,,,,,1,,0
19,"Financial analysis","Task from Business Advisory Consultation template",2025-01-06,6.0,0.0,"In Progress",17,Medium,4,1,2,19,"2025-06-26 10:31:03.310925","2025-06-06 08:41:25.777109","2025-06-27 22:43:19.780350",,,,0,0,,1,,,,,1,,0
20,"Prepare recommendations","Task from Business Advisory Consultation template",2025-01-09,3.0,0.0,"Not Started",17,Medium,4,1,2,20,,"2025-06-06 08:41:25.778118","2025-06-27 22:43:13.781243",,,,0,0,,1,,,,,1,,0
21,"Present findings to client","Task from Business Advisory Consultation template",2025-01-13,2.0,0.0,"Not Started",17,Medium,4,1,2,21,,"2025-06-06 08:41:25.778888","2025-06-26 10:30:58.264487",,,,0,0,,1,,,,,1,,0
28,"Collect client documents","",,,0.0,Completed,27,Medium,6,1,,27,"2025-06-26 10:30:53.331554","2025-06-16 12:11:45.053050","2025-06-28 21:17:43.799737",,,,0,0,,1,,,,,1,,0
29,"Review prior year return","",,,0.0,Completed,27,Medium,6,1,,28,"2025-06-26 10:30:54.369237","2025-06-16 12:11:45.055066","2025-06-28 21:17:45.061188",,,,0,0,,1,,,,,1,,0
30,"Prepare tax return","",,,0.0,"In Progress",27,Medium,6,1,,29,,"2025-06-16 12:11:45.056192","2025-07-05 10:33:27.101832",,,,0,0,,1,,,,,1,,0
31,"Manager review","",,,0.0,"Not Started",27,Medium,6,1,,30,,"2025-06-16 12:11:45.057309","2025-07-05 10:33:27.101841",,,,0,0,,1,,,,,1,,0
32,"Client review and signature","",,,0.0,"Not Started",27,Medium,6,1,,31,,"2025-06-16 12:11:45.058302","2025-07-05 10:33:24.752429",,,,0,0,,1,,,,,1,,0
33,"E-file return","",,,0.0,"Not Started",27,Medium,6,1,,32,,"2025-06-16 12:11:45.059081","2025-07-05 10:33:23.349794",,,,0,0,,1,,,,,1,,0
34,"client meeting","",2025-07-01,2.0,0.0,"Not Started",,Medium,,1,1,,,"2025-06-20 10:44:23.810671","2025-06-20 10:44:42.661915",,,,0,0,,1,,,,,1,,0
35,"Test Task","Test Description",,,0.0,"Not Started",,High,,1,1,,,"2025-06-28 17:01:46.464807","2025-06-28 17:01:46.464809",,,,0,0,,1,,,,,1,,0
36,"Test Task",Test,,,0.0,"Not Started",,High,,1,1,,,"2025-06-28 17:05:31.653086","2025-06-28 17:05:31.653089",,,,0,0,,1,,,,,1,,0
